,score,text
1,0,"RT @ChrisLu44: I served 4 years in the Obama White House. I never hired a lawyer, and I don't know anyone who did. 

Just thought I'd point…"
2,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
3,1,@Skut714 @jaketapper @PamelaBrownCNN The IG Barack Obama appointed is throwing Trump supporters a bone?
4,0,@SenatorDurbin Were sanctions working when Russia was screwing with the election?  What did Obama's admin do about it?
5,0,"RT @RedNationRising: For 3 Years Obama Left Flint With POISON Water. The good people of Flint, MI, are now receiving $100 million dollars f…"
6,1,"@PCrittenden66 @IngrahamAngle @realDonaldTrump You're right, that turnaround started at least two years ago while O… https://t.co/yI4cdnRHmc"
7,1,"Rep Steve King EXPOSES the CRIMES of Hillary, Comey, Lynch and Obama! 

EXCELLENT COMMENTARY!

https://t.co/TVTgUZcgHw via @YouTube"
8,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
9,-1,"RT @kataandkumite1: @ddale8 ""By Barrack Obama""
So you attack Ted Cruz, yet silent on Obama's hypocrisy cheering for gun control yet walking…"
10,1,"RT @ajplus: Barack Obama wrote a profile about the Parkland students for TIME's list of the 100 most influential people of 2018:

“Our hist…"
11,2,"RT @AbolishMAGAs: An open letter to #MAGA:

Your ideals don’t make Donald Trump a better president than Barack Obama. 

#FactsMatter https:…"
12,1,"RT @securefreedom: Just precious: Samantha Power 'fearful' Trump administration 'has no strategy besides tweeting and bombing'

Samantha th…"
13,-1,"RT @KamVTV: Sean Hannity: Obama was EMAILING with Lisa Page about Hillary’s server. 

Remember, Obama went on national tv and LIED to our f…"
14,0,"RT @CNN: Former President Obama: The students of Parkland ""are shaking us out of our complacency"" https://t.co/LAMTGWMIHj https://t.co/krIg…"
15,-1,RT @ArthurSchwartz: He’s the Obama holdover who refused to answer @RepLeeZeldin’s questions re: Iran’s noncompliance with JCPOA during @Hou…
16,1,@SheaSerrano Same level as Obama praise.
17,-1,RT @Missacolo: Remember when Obama watched idly as National Guard was sent to Ferguson during protests https://t.co/lQyh3wMZY3
18,0,@Nvablejrg @TubbyRedLeader @TyroJournalist @GwalaX810 @realDonaldTrump You’re the one that asked who was president.… https://t.co/OyLj1UduDA
19,3,"RT @C_3C_3: SWAMP PANIC:

Obama: 4/17/10 
Trump:  4/17/18  

Obama: Approval: 45% 
Trump:  Approval: 49%  

Obama: Media Coverage: 95% POSI…"
20,0,RT @ElaineEguthrie1: @NormEisen @MizRo2017 Can You Imagine the Scandal If Obama Flew to a Golf Club Every Weekend<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>...Trump Not Staying For…
21,0,"RT @kylegriffin1: Barack Obama praises the Parkland survivors: “Our kids now show us what we’ve told them America is all about, even if we…"
22,-2,"RT @VanessaL43: Mr. Brennan- you’re WRONG!

~Barack Hussein Obama is a Muslim who wanted to destroy America as we know it...

~Bill Clinton…"
23,0,Obama Pens ‘TIME 100’ Tribute to Parkland Students Pushing for Gun Control https://t.co/csZjtMo0ar
24,-1,"RT @TrumpsDC: This is what happens when you let ppl think for themselves.

Obama &amp; his corrupt thugs bullied ppl into thinking sanctuary fo…"
25,1,"RT @junogsp5: Excellent investigative article by @Thomas1774Paine <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> 
Obama Admin &amp; Entire Intel Community colluded w Clinton Campaign to En…"
26,1,@KernelSaunders @MarkDuplass Not really. I remember McCain starting out moderate and being driven right and choosin… https://t.co/dR0zLhMvN5
27,0,RT @JudicialWatch: JW filed a FOIA lawsuit w/ both the DOJ &amp; State Dept for any &amp; all records of communications related to the Uranium One…
28,-1,RT @tonyposnanski: I miss Obama
29,-1,RT @tonyposnanski: I miss Obama
30,-1,"RT @TalbertSwan: “You’re perfectly fine being represented by a bullying, vile, obnoxious, genitalia-grabbing, Tweet-ranting, Prime Minister…"
31,4,"RT @pglynn61: #OldThingsIWantBack
Class
Dignity 
Style
Decorum
Sanity
Competency
Leadership
Diplomacy 
Humanity
Compassion 
Humor
Kindness…"
32,-1,"RT @JacobAWohl: Obama targeted Christian Churches and Conservative Charities with the IRS, but ordered investigations into Hezbollah to be…"
33,0,"RT @FederalSpyGuy: oh, you aint seen nuttin yet
the *entire obama admin will eat eachother trying to stay alive
https://t.co/j64Kj7qgOc"
