,data2.alcohol.1.1000.,exp1.1.1000.,,,
1,9.4,10.51805833,,,
2,9.8,10.55760967,,,
3,9.8,10.53124211,,,
4,9.8,10.46532321,,,
5,9.4,10.46532321,,,
6,9.4,10.53124211,,,
7,9.4,10.58397724,,,
8,10,10.51805833,,,
9,9.5,10.55760967,,,
10,10.5,10.45213942,,,
11,9.2,10.51805833,,,
12,10.5,10.46532321,,,
13,9.9,10.3994043,,,
14,9.1,10.37303674,,,
15,9.2,10.71581505,,,
16,9.2,10.38622052,,,
17,10.5,10.79491773,,,
18,9.3,NA,,,
19,9,10.6103448,,,
20,9.2,10.57079345,,,
21,9.4,NA,,,
22,9.7,10.57079345,,,
23,9.5,10.50487455,,,
24,9.4,NA,,,
25,9.7,10.51805833,,,
26,9.3,10.49169077,,,
27,9.5,10.47850699,,,
28,9.5,10.53124211,,,
29,9.4,10.51805833,,,
30,9.8,10.58397724,,,
31,10.1,10.47850699,,,
32,10.6,10.34666918,,,
33,9.8,10.49169077,,,
34,9.4,10.32030161,,,
35,9.2,10.51805833,,,
36,9.6,10.53124211,,,
37,10.8,10.6762637,,,
38,9.7,10.59716102,,,
39,9.8,10.47850699,,,
40,10.5,10.47850699,,,
41,10.5,10.46532321,,,
42,9.3,10.47850699,,,
43,10.5,10.57079345,,,
44,10.3,10.47850699,,,
45,9.5,10.46532321,,,
46,13.1,10.3994043,,,
47,9.2,10.75536639,,,
48,9.5,10.76855017,,,
49,9.2,10.57079345,,,
50,9.2,10.41258808,,,
51,9.2,10.41258808,,,
52,9.4,10.49169077,,,
53,9.4,10.37303674,,,
54,9.4,10.3994043,,,
55,10.2,10.42577186,,,
56,9.5,10.49169077,,,
57,9.6,10.43895564,,,
58,9.4,10.41258808,,,
59,10,10.66307992,,,
60,9.4,10.42577186,,,
61,9.2,10.45213942,,,
62,9.3,10.41258808,,,
63,9.5,10.78173395,,,
64,9.8,10.66307992,,,
65,10.9,10.47850699,,,
66,10.9,10.62352858,,,
67,9.6,10.50487455,,,
68,10.7,10.49169077,,,
69,10.7,10.46532321,,,
70,10.5,10.47850699,,,
71,9.5,10.51805833,,,
72,9.5,10.55760967,,,
73,9.5,10.51805833,,,
74,9.2,10.46532321,,,
75,9.6,10.46532321,,,
76,10.5,10.47850699,,,
77,10.5,10.3994043,,,
78,10.7,10.58397724,,,
79,10.1,10.3994043,,,
80,9.1,NA,,,
81,9.2,10.45213942,,,
82,9.4,10.42577186,,,
83,9.1,10.6103448,,,
84,9.4,10.45213942,,,
85,10.3,10.72899883,,,
86,10.1,10.74218261,,,
87,9.9,10.6762637,,,
88,9.6,10.49169077,,,
89,9.5,10.72899883,,,
90,9,10.74218261,,,
91,9.5,10.6762637,,,
92,9.9,10.51805833,,,
93,9.8,10.47850699,,,
94,9.6,10.43895564,,,
95,10.5,10.38622052,,,
96,12.9,10.50487455,,,
97,10.7,10.6103448,,,
98,9.2,10.51146644,,,
99,9.8,10.63671236,,,
100,9,10.6103448,,,
101,10.2,10.49169077,,,
102,10.4,10.32030161,,,
103,9,10.43895564,,,
104,9.2,10.56420156,,,
105,9.4,10.49169077,,,
106,9.2,10.33348539,,,
107,9.3,10.32030161,,,
108,9.3,10.46532321,,,
109,9.6,10.46532321,,,
110,9.3,10.59716102,,,
111,9.5,10.38622052,,,
112,9.8,10.51805833,,,
113,9.8,10.57079345,,,
114,9.7,10.70263127,,,
115,9.5,10.70263127,,,
116,10.5,10.80150963,,,
117,10,10.57079345,,,
118,9.4,10.34666918,,,
119,10.9,10.57079345,,,
120,9.2,10.58397724,,,
121,9,10.63671236,,,
122,10.9,10.47850699,,,
123,9.2,10.37303674,,,
124,9.5,10.41258808,,,
125,9.5,10.33348539,,,
126,9.4,10.41258808,,,
127,10.9,10.6762637,,,
128,10.9,10.47850699,,,
129,10.5,10.55760967,,,
130,9.4,10.55760967,,,
131,9.4,10.50487455,,,
132,13,10.47850699,,,
133,13,10.72240694,,,
134,9.8,10.47850699,,,
135,9.9,10.51805833,,,
136,9.6,10.51805833,,,
137,9.5,10.46532321,,,
138,9.2,10.64989614,,,
139,9.5,10.41258808,,,
140,9.5,10.53124211,,,
141,9.6,10.57079345,,,
142,9.5,10.64989614,,,
143,14,10.43895564,,,
144,9.4,10.43895564,,,
145,14,10.42577186,,,
146,9.4,10.49828266,,,
147,10,10.37303674,,,
148,9.3,NA,,,
149,10.2,10.6103448,,,
150,10.5,10.49169077,,,
151,10.3,10.45213942,,,
152,9.4,10.3994043,,,
153,10.1,10.49169077,,,
154,10.1,10.3994043,,,
155,10.5,10.46532321,,,
156,10.5,10.47850699,,,
157,10.5,10.47850699,,,
158,10.5,10.58397724,,,
159,9.3,10.74218261,,,
160,9.3,10.74218261,,,
161,9.6,10.58397724,,,
162,9.2,10.45213942,,,
163,10,10.63671236,,,
164,9.4,10.47850699,,,
165,9.4,10.47850699,,,
166,9.5,10.46532321,,,
167,10.2,10.51805833,,,
168,9,10.76855017,,,
169,10.4,10.54442589,,,
170,9.5,10.71581505,,,
171,9.1,10.55760967,,,
172,9.2,10.41258808,,,
173,9.2,10.79491773,,,
174,11.5,10.45213942,,,
175,9.5,10.51805833,,,
176,9.5,10.46532321,,,
177,9.5,10.58397724,,,
178,10.5,10.46532321,,,
179,9.6,NA,,,
180,9.5,10.49169077,,,
181,9.5,10.59716102,,,
182,9.3,10.6103448,,,
183,9.3,10.53124211,,,
184,9.3,10.51805833,,,
185,9.3,10.50487455,,,
186,9.7,10.54442589,,,
187,9.2,10.47850699,,,
188,9.7,10.55760967,,,
189,9.5,NA,,,
190,9.5,10.53124211,,,
191,9.4,10.53124211,,,
192,9.8,10.53124211,,,
193,9.5,10.53124211,,,
194,9.7,10.35985296,,,
195,9.7,10.54442589,,,
196,9.4,10.55760967,,,
197,10.2,10.54442589,,,
198,10.1,10.50487455,,,
199,13,10.58397724,,,
200,11.4,10.50487455,,,
201,10.3,10.51805833,,,
202,9.3,10.58397724,,,
203,9.5,NA,,,
204,9.2,10.50487455,,,
205,9.2,10.53124211,,,
206,10.8,10.43895564,,,
207,10.8,10.37303674,,,
208,9.3,10.74218261,,,
209,9.4,NA,,,
210,10.5,10.68944749,,,
211,12.4,10.48509888,,,
212,10,10.3994043,,,
213,10.2,10.37303674,,,
214,10.1,10.33348539,,,
215,9.8,10.49169077,,,
216,10.5,10.50487455,,,
217,11,10.51805833,,,
218,9.1,10.50487455,,,
219,9.7,10.53124211,,,
220,9.5,10.46532321,,,
221,9.4,10.51805833,,,
222,9.4,NA,,,
223,9.5,10.49169077,,,
224,10,10.41258808,,,
225,10.4,NA,,,
226,10.5,10.47850699,,,
227,9.5,10.38622052,,,
228,9.8,10.49169077,,,
229,10.5,10.38622052,,,
230,11,10.47850699,,,
231,12.2,NA,,,
232,9.9,10.53124211,,,
233,9.6,10.51805833,,,
234,11,10.46532321,,,
235,9,10.46532321,,,
236,9,10.46532321,,,
237,9,10.46532321,,,
238,9.2,NA,,,
239,9,10.50487455,,,
240,9,10.49169077,,,
241,9.3,10.58397724,,,
242,10.9,10.57079345,,,
243,9.8,10.43895564,,,
244,9.2,10.47850699,,,
245,9.2,10.68944749,,,
246,9.9,10.3994043,,,
247,9.5,10.43895564,,,
248,9.3,10.42577186,,,
249,9.8,10.41258808,,,
250,9.9,10.70263127,,,
251,10,10.43895564,,,
252,9.9,10.50487455,,,
253,10.5,10.68944749,,,
254,9.5,10.47850699,,,
255,9.9,10.47850699,,,
256,9.3,10.50487455,,,
257,9.2,10.62352858,,,
258,9.2,10.62352858,,,
259,9.4,10.46532321,,,
260,10.5,10.63671236,,,
261,9.3,10.31370972,,,
